created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
2026-04-08 10:22:31.823,0.005028,,,,0,1719,288,272,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,6497,6465,,critic-api
2026-04-08 10:21:53.393,0.109159,,,0,0,16719,1680,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,81725,81641,,critic-api
2026-04-08 10:21:49.111,0.107535,,,0,0,7482,2678,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,31029,30863,,critic-api
2026-04-08 10:20:21.210,0.073206,,,,0,12189,5797,4023,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,69537,9262,,critic-api
2026-04-08 10:19:20.916,0.073508,,,,0,12679,5766,4140,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,59517,7035,,critic-api
2026-04-08 10:17:48.116,0.089391,,,0,0,25689,5728,2088,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,52969,3407,,critic-api
2026-04-08 10:16:10.247,0.097247,,,0,0,20014,7223,2191,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,66318,3311,,critic-api
2026-04-08 10:14:44.806,0.083747,,,,0,11382,6952,2279,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,84672,4212,,critic-api
2026-04-08 10:13:57.086,0.040851,,,0,0,8049,3079,2022,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,27752,2522,,critic-api
2026-04-08 10:11:59.190,0.121973,,,,0,28595,8623,4642,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,117123,3158,,critic-api
2026-04-08 10:10:23.610,0.096196,,,0,0,23205,6719,1866,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,60450,3071,,critic-api
